transaction_id,customer_id,merchant_id,amount,payment_method,failure_reason,failure_code,timestamp,customer_segment,previous_transactions,previous_success_rate,avg_payment_amount,customer_lifetime_value,preferred_channel,retry_count,subscription_type,days_since_last_payment,action_taken,recovered,recovery_time,discount,communication_cost
txn_000001,cust_0016,1,2023.74,card,SUSPECTED_FRAUD,BAD_REQUEST_ERROR,2025-07-28T21:25:42.480108,at_risk,21,0.262,2999.46,3047.08,sms,0,monthly,11,escalate_human,0,0.0,0.0,50.0
txn_000002,cust_0415,1,19823.64,netbanking,INSUFFICIENT_FUNDS,BAD_REQUEST_ERROR,2025-07-22T17:22:48.952541,vip,11,0.834,94.98,422931.89,upi,0,,7,retry_delayed,0,0.0,0.0,0.0
txn_000003,cust_0187,3,4894.05,card,EXPIRED_CARD,BAD_REQUEST_ERROR,2025-07-21T16:25:13.021513,regular,3,0.825,826.04,42922.94,email,0,,7,sms_reminder,0,0.0,0.0,0.25
txn_000004,cust_0277,1,4384.25,card,EXPIRED_CARD,BAD_REQUEST_ERROR,2025-07-29T22:44:16.648595,regular,1,0.917,2893.6,12066.15,whatsapp,1,,22,sms_reminder,1,9.22,0.0,0.25
txn_000005,cust_0159,2,69813.04,emi,INSUFFICIENT_FUNDS,BAD_REQUEST_ERROR,2025-07-04T14:28:00.904152,b2b,23,0.665,1538.17,1969952.0,upi,0,,69,offer_discount,0,0.0,0.0,6981.4
txn_000006,cust_0065,1,1201.32,upi,INVALID_DETAILS,BAD_REQUEST_ERROR,2025-07-29T11:41:18.514233,regular,6,0.788,465.61,45364.86,sms,0,,2,email_reminder,1,8.5,0.0,0.1
txn_000007,cust_0323,1,552.0,upi,INSUFFICIENT_FUNDS,BAD_REQUEST_ERROR,2025-07-07T22:00:20.164352,new,27,0.728,1004.08,9913.23,sms,2,,1,escalate_human,1,54.72,0.0,50.0
txn_000008,cust_0287,2,1961.65,nach,SUBSCRIPTION_MANDATE_FAILURE,BAD_REQUEST_ERROR,2025-07-21T04:03:22.113279,regular,17,0.617,11606.88,25071.43,sms,1,annual,59,send_payment_link,1,3.59,0.0,0.5
txn_000009,cust_0436,1,9233.81,card,EXPIRED_CARD,BAD_REQUEST_ERROR,2025-07-04T14:29:56.179079,regular,10,0.82,1263.61,44370.37,sms,1,,4,escalate_human,1,66.24,0.0,50.0
txn_000010,cust_0056,2,4200.31,wallet,INSUFFICIENT_FUNDS,BAD_REQUEST_ERROR,2025-07-07T22:28:54.709863,regular,8,0.908,5450.29,18839.08,upi,3,,21,send_payment_link,0,0.0,0.0,0.5
txn_000011,cust_0021,2,22849.04,card,USER_ABANDONED,BAD_REQUEST_ERROR,2025-07-30T19:00:17.466603,vip,27,0.86,740.11,139899.04,whatsapp,3,,12,whatsapp_nudge,1,8.21,0.0,1.5
